n_nodes,n_edges,avg_degree,avg_clustering,n_sources,n_infected_nodes,n_iterations,percentage_infected,beta,threshold_infected,graph_type,neighbours,prob_reconnect
1265,5044,3.9873517786561266,0.030595280139130633,41,1044,8,0.03255429908247148,0.10685382688185643,0.6780885848118647,barabasi_albert,4,0.318496954865821
1566,9396,6.0,0.5035012401391709,26,942,4,0.016661153632611354,0.45408815918928136,0.26921057842486895,watts_strogatz,12,0.0996560839143808
3434,20604,6.0,0.1930762671919217,166,2179,3,0.04838526778764925,0.34710898228660747,0.2237602851111784,watts_strogatz,12,0.3494492671179616
2009,2009,1.0,0.0,75,1495,32,0.0375687488821485,0.40748171785005777,0.7203162518773987,watts_strogatz,3,0.11202937054899831
589,588,0.99830220713073,0.0,23,469,20,0.03943999617597872,0.17967814057786155,0.7657591976903644,barabasi_albert,1,0.3610001176758948
2215,11050,4.988713318284424,0.02304785070050173,29,1154,8,0.013476062774034712,0.06939209735956481,0.2840384544637117,barabasi_albert,5,0.31864881228004055
1047,4188,4.0,0.5949849153287554,24,429,5,0.02363182573736624,0.31121016288108655,0.2425101673725495,watts_strogatz,8,0.026731833706581942
765,764,0.9986928104575163,0.0,14,542,9,0.0192592872615112,0.4135274860330069,0.5386265536079651,barabasi_albert,1,0.17582066859906076
1627,11340,6.969883220651506,0.03188680080037701,40,1244,4,0.02479157054530997,0.2060211119375057,0.286312849825297,barabasi_albert,7,0.464973995625671
673,1342,1.9940564635958395,0.03237774033812634,12,534,15,0.01851455881397579,0.11688665518302117,0.751449122828149,barabasi_albert,2,0.16511402170659334
654,653,0.9984709480122325,0.0,24,147,30,0.03697834574846445,0.029505488962678947,0.21375862788723562,barabasi_albert,1,0.07058392655799117
1667,1667,1.0,0.0,80,1319,28,0.04799915527996149,0.39009329815592186,0.7774951262436975,watts_strogatz,3,0.21265136673737317
858,1712,1.9953379953379953,0.03050402605799943,31,654,5,0.03636918984218834,0.40259121435658834,0.5184074201274464,barabasi_albert,2,0.08853196587788253
871,2604,2.989667049368542,0.039111667827392574,22,565,9,0.025480267024307127,0.09994081214012755,0.4777144346702777,barabasi_albert,3,0.15507629414339424
1038,4136,3.984585741811175,0.03728743246259946,32,793,8,0.03149731606241785,0.12094733247565348,0.620901644295919,barabasi_albert,4,0.115926655002831
929,1858,2.0,0.2992977600082014,31,278,8,0.03340576952662139,0.15739793443062502,0.22114391948567025,watts_strogatz,4,0.18813012936618267
496,496,1.0,0.0,15,406,63,0.03221204348954946,0.26077549616451684,0.7990407382279718,watts_strogatz,2,0.030726753927001027
