,diameter,average_shortest_path_length,average_clustering_coefficient,average_degree,n_nodes,n_edges,avg_degree_centrality
262,4,2.723858141239993,0.05523907023501452,13.89917695473251,972,6755,0.01431429140549177
263,5,3.44366608551863,0.42081405453960496,14.0,944,6608,0.014846235418875928
264,4,2.6683933904813624,0.05408310568450797,15.874015748031496,1016,8064,0.01563942438229704
265,4,2.6850807304519497,0.05128809733090382,15.882783882783883,1092,8672,0.01455800539210255
266,4,2.725708522577283,0.05130750041208009,13.895966029723992,942,6545,0.014767232762724748
267,4,2.6943560976016965,0.049369069207418764,15.88310502283105,1095,8696,0.014518377534580483
268,5,3.3107714849025007,0.41226013393686445,16.0,1089,8712,0.014705882352941175
269,4,2.7359525485237848,0.05039702002480535,13.90020366598778,982,6825,0.01416942269723525
270,5,3.2499680718504176,0.38467955341222826,16.0,1077,8616,0.01486988847583643
271,5,3.3108124458234096,0.40836852650237787,16.0,1099,8792,0.014571948998178506
272,4,2.7433954694154683,0.04796807887991506,13.897166841552991,953,6622,0.014597864329362383
273,5,3.4246398801813824,0.4063429460127515,14.0,959,6713,0.014613778705636741
274,5,3.3759599536563183,0.38424954550877183,14.0,974,6818,0.01438848920863309
275,4,2.73159908964921,0.051334409056683336,13.89917695473251,972,6755,0.01431429140549177
276,5,3.313355683284681,0.36282336019853373,14.0,917,6419,0.015283842794759826
277,4,2.7277400529934885,0.049532580066239486,13.898550724637682,966,6713,0.014402643237966507
278,4,2.73193409856056,0.0507038723820397,13.897058823529411,952,6615,0.014613100760809055
279,4,2.6630072479185283,0.055453011762458905,15.87122736418511,994,7888,0.015983109128081686
280,5,3.409567446415297,0.38076582220083977,14.0,1034,7238,0.01355275895450145
281,4,2.693006479434759,0.04732836140671015,15.87832699619772,1052,8352,0.015107827779445972
282,5,3.226837128126774,0.3936902286857946,16.0,974,7792,0.016443987667009247
283,5,3.418851111456219,0.3816361489391862,14.0,1059,7413,0.013232514177693762
284,5,3.3189529912661846,0.4206462770854717,16.0,1070,8560,0.014967259120673527
285,5,3.4754430525890436,0.4174588255657276,14.0,1020,7140,0.013738959764474977
286,4,2.7437858424126746,0.0451165730371466,13.897058823529411,952,6615,0.014613100760809057
287,5,3.250429464788134,0.4077777936116484,16.0,971,7768,0.016494845360824743
288,4,2.7218979264654357,0.05542661767481184,13.899073120494336,971,6748,0.014328941361334366
289,4,2.6793125786629157,0.05118267981908039,15.876923076923077,1040,8256,0.015280965425335016
290,4,2.692036517626354,0.046552316643105815,15.877511961722488,1045,8296,0.01520834479092192
291,5,3.2769486024494427,0.4035789217677023,16.0,1049,8392,0.015267175572519083
292,4,2.7227656898726806,0.056282024411728,13.902681231380338,1007,7000,0.01381976265544765
293,4,2.7415285165360674,0.048181014287439,13.899692937563971,977,6790,0.014241488665536857
294,4,2.673175583991523,0.05642577662768496,15.878557874762809,1054,8368,0.015079352207751955
295,4,2.8216278209396966,0.04390545051651183,11.920088790233075,901,5370,0.01324454310025897
296,5,3.4078616413941445,0.40026836271495875,14.0,958,6706,0.014629049111807737
